born_date,born_year,current_team,height,name,weight
February 25,1963, ,6-3,Colin Chisholm,200lb
November 11,1934, ,5-9,Art Chisholm,160lb
March 28,1954, ,5-11,Ron Chipperfield,186lb
February 19,1986, ,6-2,Kyle Chipchura,203lb
April 5,1945, ,5-11,Jack Chipchase,205lb
April 25,1983, ,5-11,Andy Chiodo,192lb
August 15,1953, ,5-11,Rick Chinnick,180lb
February 1,2001, ,6-0,Yegor Chinakhov,178lb
May 2,1979, ,6-3,Jason Chimera,215lb
November 30,1957, ,5-11,Dan Chicoine,192lb
February 26,1993, ,6-4,Andrei Chibisov,227lb
April 19,1968, ,6-0,Igor Chibirev,180lb
April 14,1967, ,6-1,Steve Chiasson,205lb
October 1,1990,Edmonton Oilers,6-3,Alex Chiasson,208lb
May 2,1932, ,5-10,Real Chevrefils,180lb
,,, ,Marc Cheverie,(Age: 33-326d)
February 15,1968, ,5-10,Tim Cheveldae,195lb
April 20,1970, ,6-0,Denis Chervyakov,185lb
February 5,1934, ,5-11,Don Cherry,180lb
March 28,1937, ,6-0,Dick Cherry,195lb
,,, ,Dmitri Chernykh,(Age: 35-321d)
September 1,1963, ,5-8,Rich Chernomaz,185lb
May 13,1946, ,5-10,Mike Chernoff,175lb
,,, ,Alexei Cherepanov,(Age: 31-364d)
March 8,1991, ,6-2,Jake Chelios,185lb
January 25,1962, ,6-0,Chris Chelios,191lb
January 4,1999, ,5-10,Ivan Chekhovich,185lb
December 7,1940, ,5-11,Gerry Cheevers,185lb
July 15,1980, ,6-1,Jonathan Cheechoo,200lb
May 22,1918, ,5-10,Lude Check,165lb
February 23,2001, ,6-3,Daniil Chechelev,187lb
August 1,1997, ,6-0,Nikolai Chebykin,183lb
April 23,1975, ,6-2,Vladimir Chebaturkin,226lb
October 30,1995, ,6-2,Connor Chatham,222lb
May 16,1996,Vancouver Canucks,6-1,Jalen Chatfield,188lb
February 7,1970, ,6-2,Denis Chasse,200lb
October 25,1967, ,5-11,Kelly Chase,201lb
January 1,1995, ,6-0,Gregory Chase,190lb
December 21,1949, ,6-0,Claude Chartre,180lb
July 13,1954, ,6-2,Rick Chartraw,210lb
December 14,1974, ,5-11,Brad Chartrand,185lb
April 3,1996, ,5-11,Rourke Chartier,190lb
February 15,1961, ,5-9,Dave Chartier,170lb
January 24,1949, ,5-10,Guy Charron,170lb
January 14,1970, ,6-3,Eric Charron,195lb
April 18,1977, ,5-9,Sebastien Charpentier,177lb
March 22,1965, ,6-1,Todd Charlesworth,190lb
,,, ,Joe Charlebois,(Age: 34-330d)
May 27,1944, ,6-0,Bob Charlebois,175lb
June 27,1970, ,6-2,Stephane Charbonneau,195lb
November 21,1966, ,6-0,Jose Charbonneau,195lb
March 18,1977,Washington Capitals,6-9,Zdeno Chara,250lb
,,, ,Stefan Chaput,(Age: 32-308d)
April 9,1992, ,6-2,Michael Chaput,199lb
February 10,1968, ,6-1,Brian Chapman,195lb
June 13,1956, ,6-1,Blair Chapman,190lb
September 27,1966, ,6-1,Rene Chapdelaine,195lb
December 2,1942, ,5-10,Bob Champoux,175lb
,,, ,Joel Champagne,(Age: 30-355d)
September 19,1943, ,6-0,Andre Champagne,190lb
October 11,1966, ,6-2,Shawn Chambers,210lb
